Kringle Event UUID,Kringle Event Start Datetime (UTC),AVGVelocity (mps),Data Source,IMPSettlingDistance (m),IMPSettlingTime (s),AVGABSCommandAngle (deg),AVGABSIMPXTE (m),AVGABSRoll (deg),AVGABSSteeringAngle (deg),AVGABSXTE (m),AVGCommandAngle (deg),AVGIMPXTE (m),AVGRoll (deg),AVGSpeed (mps),AVGSteeringAngle (deg),AVGXTE (m),Distance (m),Duration (s),MAXABSCommandAngle (deg),MAXABSCommandSlew (dps),MAXABSIMPXTE (m),MAXABSRoll (deg),MAXABSSteeringAngle (deg),MAXABSSteeringSlew (dps),MAXABSXTE (m),MAXIMPXTE (m),MAXXTE (m),MINABSIMPXTE (m),MINABSRoll (deg),MINABSXTE (m),MINIMPXTE (m),MINXTE (m),STDCommandAngle (deg),STDIMPXTE (m),STDRoll (deg),STDSteeringAngle (deg),STDXTE (m),SteeringDelay (deg),SwathType (None)
82047d10-a8e6-49f4-b8f9-998f4b142119,2026-04-16T19:24:10.450000+00:00,2.217,Run 23 - Magnum_380_curve2deg_5mph_run1,0.0,0.0,4.851,0.026,0.332,4.027,0.386,-0.527,0.003,0.291,2.217,0.234,0.05,252.041,113.75,11.527,5.635,0.094,1.49,10.497,6.538,0.698,0.078,0.698,0.0,0.0,0.0,-0.094,-0.584,5.592,0.033,0.279,4.622,0.427,1.427,Curve
0cd0d811-df55-4fbb-abf4-2714f1004dee,2026-04-16T19:27:21.900000+00:00,2.218,Run 24 - Magnum_380_curve2deg_5mph_run2,0.0,0.0,4.767,0.022,0.218,4.035,0.374,-1.104,0.003,0.043,2.218,-0.032,0.023,131.435,59.3,16.902,9.876,0.098,0.92,14.982,10.1,1.024,0.087,0.464,0.0,0.0,0.0,-0.098,-1.024,6.063,0.031,0.265,5.011,0.454,1.534,Curve
a729add2-7566-4957-99b7-691062d2dda3,2026-04-16T19:28:23.100000+00:00,2.202,Run 25 - Magnum_380_curve2deg_5mph_run2,0.0,0.0,8.492,0.027,0.148,6.196,0.539,-8.492,0.004,0.002,2.202,-6.013,-0.539,41.183,18.75,16.231,5.465,0.097,0.7,12.991,6.093,1.026,0.084,-0.067,0.0,0.0,0.067,-0.097,-1.026,4.37,0.039,0.193,3.946,0.344,2.562,Curve
123c8b62-d6d7-4176-b58e-c54f23cdc239,2026-04-16T19:28:48.050000+00:00,2.221,Run 26 - Magnum_380_curve2deg_5mph_run2,0.0,0.0,3.115,0.014,0.223,3.041,0.287,2.459,-0.002,-0.003,2.221,2.764,0.275,89.177,40.2,6.779,3.188,0.05,1.41,7.194,4.682,0.473,0.05,0.473,0.0,0.0,0.001,-0.049,-0.095,2.411,0.017,0.292,2.045,0.155,0.953,Curve
dec1e60e-9537-41dc-a871-c8979be78712,2026-04-16T19:30:33.250000+00:00,2.221,Run 27 - Magnum_380_curve2deg_5mph_run3,0.0,0.0,6.956,0.019,0.214,5.055,0.312,-6.955,0.0,0.057,2.221,-4.79,-0.31,31.871,14.4,15.186,4.029,0.099,0.89,12.401,4.556,0.899,0.099,0.023,0.0,0.0,0.001,-0.043,-0.899,4.718,0.028,0.259,4.151,0.291,2.198,Curve
9d700bda-f27b-4d23-87f5-1dd3f73f88a1,2026-04-16T19:31:00.300000+00:00,2.219,Run 28 - Magnum_380_curve2deg_5mph_run3,0.0,0.0,4.244,0.019,0.294,3.81,0.375,0.637,0.0,0.272,2.219,1.2,0.144,203.825,91.9,18.513,10.689,0.081,1.04,16.923,10.633,0.971,0.081,0.507,0.0,0.0,0.001,-0.059,-0.971,5.265,0.025,0.227,4.453,0.397,1.137,Curve
ca08f778-666c-4ed6-a4cb-5405946f840f,2026-04-16T19:47:40.600000+00:00,3.509,Run 29 - Magnum_380_curve1deg_8mph_run3,0.0,0.0,1.595,0.042,0.252,1.687,0.096,0.691,-0.034,-0.193,3.509,1.369,0.048,43.339,12.4,2.964,1.689,0.1,0.89,3.551,2.667,0.193,0.045,0.193,0.001,0.01,0.0,-0.1,-0.171,1.74,0.038,0.251,1.311,0.102,0.854,Curve
9df1799f-2890-4801-97f8-8fff7369cfd3,2026-04-16T19:58:33.550000+00:00,1.614,Run 30 - Magnum_380_aqc_parallel_3.6mph_run1,0.0,0.0,1.496,0.016,0.209,1.184,0.032,-1.255,0.0,0.095,1.614,-0.007,-0.001,73.297,45.45,4.594,3.134,0.05,0.77,4.577,5.605,0.075,0.044,0.063,0.0,0.0,0.0,-0.05,-0.075,1.209,0.019,0.251,1.493,0.037,1.515,Heading
d9187b31-d87f-4bcc-ac4e-462eaf6e5a69,2026-04-16T20:01:12.550000+00:00,2.232,Run 31 - Magnum_380_aqc_parallel_5mph_run1,0.0,0.0,1.403,0.027,0.223,0.896,0.051,-1.283,0.013,0.189,2.232,-0.095,0.01,79.569,35.7,3.886,3.517,0.097,0.81,3.847,4.573,0.151,0.085,0.127,0.0,0.0,0.0,-0.097,-0.151,1.046,0.032,0.192,1.125,0.062,1.268,Heading
0ed73ab7-0767-48e3-a7e5-c4431e0b57dd,2026-04-16T20:55:07.250000+00:00,1.611,Run 32 - Magnum_380_aqc_30deg_10ft__3.6mph_run1,0.0,0.0,1.658,0.026,0.195,1.525,0.04,-1.186,-0.01,0.073,1.611,-0.066,0.012,81.738,50.8,7.26,5.491,0.068,0.81,7.457,11.727,0.134,0.068,0.134,0.0,0.0,0.0,-0.061,-0.09,1.752,0.029,0.236,2.035,0.05,1.624,Heading
fc7be00f-5740-4937-b310-a3896ea27e27,2026-04-16T20:59:43.250000+00:00,1.61,Run 33 - Magnum_380_aqc_30deg_25ft__3.6mph_run1,0.0,0.0,1.376,0.012,0.201,1.194,0.029,-1.118,-0.009,0.023,1.61,0.006,0.014,77.445,48.15,5.178,4.471,0.047,0.86,4.664,6.056,0.072,0.02,0.072,0.0,0.0,0.0,-0.047,-0.054,1.251,0.014,0.26,1.51,0.03,1.392,Heading
c5bf6d24-8144-43b1-887f-0d4c936a790e,2026-04-16T21:04:27.450000+00:00,2.241,Run 34 - Magnum_380_aqc_30deg_10ft__5mph_run1,0.0,0.0,1.04,0.013,0.222,0.98,0.016,-0.978,-0.009,-0.022,2.241,0.015,0.008,79.231,35.4,3.184,3.369,0.048,0.89,4.177,7.186,0.044,0.048,0.044,0.0,0.0,0.0,-0.037,-0.041,0.766,0.013,0.283,1.224,0.018,1.264,Heading
83eb47e2-2974-48d7-bb32-6265755c5acf,2026-04-16T21:08:59.350000+00:00,2.24,Run 35 - Magnum_380_aqc_30deg_25ft__5mph_run1,0.0,0.0,0.945,0.021,0.24,0.954,0.018,-0.913,-0.021,-0.005,2.24,0.012,-0.014,66.872,29.9,2.727,2.229,0.045,0.83,4.245,5.505,0.048,0.008,0.02,0.0,0.0,0.0,-0.045,-0.048,0.611,0.01,0.304,1.224,0.015,1.304,Heading
2072926f-1349-4903-bd78-eaa48625129b,2026-04-16T21:17:29+00:00,3.551,Run 36 - Magnum_380_aqc_30deg_25ft__8mph_run1,0.0,0.0,1.082,0.019,0.469,0.895,0.012,-1.082,-0.013,-0.246,3.551,0.002,0.005,49.008,13.85,1.978,1.254,0.05,1.57,3.085,3.857,0.041,0.043,0.041,0.0,0.0,0.0,-0.05,-0.03,0.352,0.018,0.508,1.115,0.014,1.341,Heading
55188ef8-a2a6-4eaf-805a-1342aa3b8c01,2026-04-16T21:39:38.200000+00:00,1.613,Run 37 - Magnum_380_aqc_75deg_10ft__3.6mph_run1,0.0,0.0,1.679,0.022,0.197,1.481,0.039,-1.082,0.001,-0.157,1.613,0.095,-0.001,82.355,51.1,8.669,9.501,0.05,0.65,9.224,11.311,0.105,0.049,0.094,0.0,0.0,0.0,-0.05,-0.105,2.0,0.025,0.179,2.022,0.046,1.485,Heading
f70207d5-83e7-43a2-9745-4334dbc282d1,2026-04-16T21:43:16.250000+00:00,1.613,Run 38 - Magnum_380_aqc_75deg_30ft__3.6mph_run1,0.0,0.0,1.184,0.012,0.243,0.877,0.023,-1.076,0.006,-0.228,1.613,-0.035,0.005,66.788,41.45,4.088,3.957,0.046,0.61,3.479,3.949,0.065,0.033,0.065,0.0,0.0,0.0,-0.046,-0.061,0.969,0.014,0.166,1.107,0.029,1.21,Heading
3daf53bd-2d17-4e66-95b5-7ea308530d57,2026-04-16T21:50:35.650000+00:00,2.236,Run 39 - Magnum_380_aqc_75deg_10ft__5mph_run1,0.0,0.0,1.042,0.019,0.246,0.75,0.028,-1.003,-0.015,-0.173,2.236,-0.028,-0.021,97.73,43.75,3.576,3.543,0.057,0.88,3.272,3.651,0.062,0.05,0.054,0.0,0.0,0.0,-0.057,-0.062,0.766,0.017,0.241,0.932,0.024,1.083,Heading
32dd9c0b-c4ea-4001-9d24-6ef869a7f037,2026-04-16T21:54:00.300000+00:00,2.234,Run 40 - Magnum_380_aqc_75deg_30ft__5mph_run1,0.0,0.0,1.452,0.009,0.265,0.519,0.033,-1.452,0.003,-0.185,2.234,0.015,0.033,75.623,33.9,2.782,2.261,0.049,1.14,3.592,3.751,0.065,0.029,0.065,0.0,0.0,0.002,-0.049,0.002,0.467,0.012,0.261,0.678,0.015,1.476,Heading
dd61820f-0f00-4be6-92f8-a265a37133f7,2026-04-16T22:04:03+00:00,1.615,Run 41 - Magnum_380_aqc_75deg_10ft__3.6mph_run2,0.0,0.0,1.052,0.019,0.224,0.662,0.015,-1.049,-0.018,-0.177,1.615,0.024,0.004,62.014,38.45,2.858,1.969,0.049,0.71,3.792,4.258,0.085,0.049,0.029,0.0,0.0,0.0,-0.041,-0.085,0.548,0.013,0.202,0.878,0.02,1.208,Heading
c560db83-3aca-41e5-a72c-fd191c107b41,2026-04-16T22:07:07.900000+00:00,2.232,Run 42 - Magnum_380_aqc_75deg_30ft__5mph_run2,0.0,0.0,1.777,0.014,0.218,0.647,0.07,-1.776,0.008,-0.008,2.232,-0.001,0.07,102.911,46.15,3.192,2.358,0.054,1.09,3.69,3.815,0.129,0.054,0.129,0.0,0.0,0.038,-0.048,0.038,0.633,0.017,0.275,0.841,0.023,1.818,Heading
